TaxonName;TaxonGroup;HRoverlap;GS;Dindex;N;s;Mindex;nM;nF;SocialSystem;Activity;Substrate;Habitat;PropLeaves;M_Dispersal;F_Dispersal;ID.LSex;n.LSex;Dis.LSex
Presbytis femoralis;Colobinae;0.25;11;1.766628414;1;0.1;0.333794219;1.053639847;5.057471264;sM-mF;Diurnal;Arboreal;Wooded;0.29;Dispersal;Dispersal;NA;NA;NA
Presbytis melalophos;Colobinae;0.246666667;14.13333333;1.573929797;1;0.1;0.322559246;1.416666667;5.616666667;sM-mF;Diurnal;Arboreal;Wooded;NA;Dispersal;Dispersal;Male;One;Dispersal
Presbytis potenziani;Colobinae;0.4;3;0.820727985;1;0.1;0.124739708;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.55;Dispersal;Dispersal;Female;One;Dispersal
Presbytis rubicunda;Colobinae;0.106666667;8;0.939381999;1;0.1;0.104719759;1;2.333333333;sM-mF;Diurnal;Arboreal;Wooded;0.376;Dispersal;Dispersal;Female;Multiple;Dispersal
Presbytis siamensis;Colobinae;0.565;15.5;1.356752352;2;0.1;0.490873852;1.511437908;6.536690434;sM-mF;Diurnal;Arboreal;Wooded;0.355;Dispersal;Dispersal;Male;One;Dispersal
Presbytis thomasi;Colobinae;0.255;8.5;1.527800287;1;0.1;0.266306186;1.085;3.55;sM-mF;Diurnal;Arboreal;Wooded;0.442;Dispersal;Dispersal;NA;NA;NA
Procolobus verus;Colobinae;0.14;7.1;1.435335899;1;0.1;0.169982603;1.5;3;sM-mF;Diurnal;Arboreal;Wooded;0.85;Dispersal;Dispersal;Male;One;Dispersal
Propithecus diadema;Lemuriformes;0.05;5;1.126880132;1;0.1;0.138517462;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.4328;Dispersal;Philopatry;Female;One;Philopatry
Propithecus verreauxi;Lemuriformes;0.425;5.5875;2.349887604;1;0.1;0.846495458;2.23;2.065;mM-mF;Diurnal;Arboreal;Wooded;0.5875;Dispersal;Philopatry;Male;Multiple;Dispersal
Rhinopithecus bieti;Colobinae;1;292.5;0.243198076;2;0.05;0.004037222;21.34146341;66.15853659;mM-mF;Diurnal;Terrestrial;Wooded;0.198333333;NA;NA;Male;Multiple;NA
Rhinopithecus brelichi;Colobinae;1;225;0.193241602;2;0.05;0.002894753;37.00657895;81.41447368;mM-mF;Diurnal;Terrestrial;Wooded;0.37;NA;NA;NA;Multiple;NA
